date,Open,High,Low,Values,Adj Close,Volume
09-09-2022,211,212.5,208.1000061,208.75,208.75,1739209
12-09-2022,209.4499969,210.3999939,209,209.4499969,209.4499969,1111386
13-09-2022,210,214.3999939,210,212.1000061,212.1000061,3114733
14-09-2022,208.9499969,211.4499969,208,210.1000061,210.1000061,2005216
15-09-2022,211,224.3999939,211,221.5,221.5,12522822
16-09-2022,223.8000031,236.6499939,213,225.5500031,225.5500031,32081344
19-09-2022,222,222,213.5,215.1999969,215.1999969,8813761
20-09-2022,217,217.6000061,210.8500061,211.8000031,211.8000031,3700972
21-09-2022,212,215.5500031,208.1000061,210.1000061,210.1000061,2723920
22-09-2022,209.8999939,213,208.5,211.3999939,211.3999939,1995533
23-09-2022,212.3999939,214.8999939,208.5,209.5500031,209.5500031,2858876
26-09-2022,207.6999969,207.6999969,197,200.1000061,200.1000061,3822890
27-09-2022,197,205.5,196.5,200.25,200.25,4946490
28-09-2022,198.3000031,202,190.25,194.8999939,194.8999939,3749164
29-09-2022,196,199.5,192,193.8500061,193.8500061,2856724
30-09-2022,194.8000031,199.25,192.0500031,198.3999939,198.3999939,2223310
03-10-2022,198,205.9499969,197.8999939,201.1999969,201.1999969,3939890
04-10-2022,205,216.3999939,204.4499969,213.1999969,213.1999969,9670245
06-10-2022,215.6499939,223,214.3000031,220.75,220.75,6424694
07-10-2022,222,228.4499969,221.3000031,227.3500061,227.3500061,9486970
10-10-2022,222.8999939,230.8999939,222,228.6999969,228.6999969,6490573
11-10-2022,230.1999969,230.3000031,215.1999969,217.5500031,217.5500031,7731308
12-10-2022,221.8999939,223.8000031,211.25,217.6499939,217.6499939,13481015
13-10-2022,217.1999969,217.6000061,212.3000031,214.25,214.25,3058371
14-10-2022,218.5,219.5,209.5,210.3500061,210.3500061,3188094
17-10-2022,210.3500061,217.3500061,208.5500031,215.8999939,215.8999939,3256562
18-10-2022,217.8999939,217.8999939,214.3999939,215.6499939,215.6499939,1983493
19-10-2022,217,218.1999969,215.1000061,216.1000061,216.1000061,1920459
20-10-2022,215.6000061,217.8000031,212.8000031,217.25,217.25,2153471
21-10-2022,217.6499939,222.3000031,216.5500031,220.5,220.5,3657305
24-10-2022,223,226.1999969,221.8000031,225.1999969,225.1999969,4621416
25-10-2022,226.3500061,227.8000031,221.1999969,221.8999939,221.8999939,4456536
27-10-2022,222.8000031,224.6000061,220.5500031,222.5,222.5,2811867
28-10-2022,223.3500061,224.6499939,220.0500031,221.3999939,221.3999939,1777055
31-10-2022,222.3500061,224.3500061,220.6499939,223.1499939,223.1499939,2130990
01-11-2022,223.8999939,229,220.8500061,222.3999939,222.3999939,4832258
02-11-2022,222.6499939,227,222.0500031,223,223,2666250
03-11-2022,221.8500061,227.3000031,221.25,222.4499969,222.4499969,3865261
04-11-2022,222,223.8500061,213.3500061,216.6000061,216.6000061,4417206
07-11-2022,217,221.4499969,215.3500061,218.3000031,218.3000031,2475815
09-11-2022,219.3000031,224.8000031,218.8000031,222.1999969,222.1999969,3437822
10-11-2022,222.1999969,224.5,218,220.1999969,220.1999969,2764384
11-11-2022,223,223.6999969,220.5500031,221.8000031,221.8000031,1993082
14-11-2022,222.3000031,225.4499969,218.3000031,223.8999939,223.8999939,2943593
15-11-2022,224,232,222.6999969,227.8500061,227.8500061,10081353
16-11-2022,227.9499969,228,215.3999939,218.5500031,218.5500031,5761734
17-11-2022,218.6499939,220.8000031,213.3000031,219.3999939,219.3999939,3288820
18-11-2022,220.3500061,220.3500061,216.25,217.4499969,217.4499969,2033199
21-11-2022,216.9499969,222.3500061,215.5,221.6499939,221.6499939,2762354
22-11-2022,222.75,229.5,222.1000061,224.25,224.25,10856146
23-11-2022,223.8999939,224.8000031,218.5,222,222,4294181
24-11-2022,222.8999939,223.8000031,219.5,220.5,220.5,2237776
25-11-2022,220.8999939,222.6999969,219.6000061,220.75,220.75,2245539
28-11-2022,220,234.8999939,219.8500061,232.1000061,232.1000061,13656421
29-11-2022,233,233.3000031,228,228.4499969,228.4499969,5082382
30-11-2022,228.5,229.9499969,225.0500031,227.4499969,227.4499969,1796693
01-12-2022,228.6499939,229.3000031,226.25,227.6999969,227.6999969,1787388
02-12-2022,228,231.8999939,227.6000061,228.3999939,228.3999939,3063294
05-12-2022,229.5,234.8999939,228.1999969,234.1999969,234.1999969,5956549
06-12-2022,235,237,233.1000061,235.5500031,235.5500031,5163748
07-12-2022,237,237.3999939,226.3999939,227.6000061,227.6000061,6558246
08-12-2022,227.8000031,229.6000061,224.25,227.0500031,227.0500031,3184709
09-12-2022,228,229.3000031,221.3999939,223.1000061,223.1000061,3100327
12-12-2022,223,223.75,220.5,222.1499939,222.1499939,1897650
13-12-2022,223.1999969,224.25,221.8500061,222.6000061,222.6000061,1218052
14-12-2022,223.6999969,226.8000031,222.6499939,224.3500061,224.3500061,1953371
15-12-2022,224.75,226,222,223.1000061,223.1000061,1416276
16-12-2022,222.1000061,222.1000061,217.1999969,218,218,1993667
19-12-2022,218.5,222.9499969,217,221.6999969,221.6999969,1783279
20-12-2022,221.3999939,222.3999939,218.5,220.1999969,220.1999969,1271765
21-12-2022,221.5,222.8500061,207,209.6499939,209.6499939,4486243
